"name1","name2","period","issue_num","p1","p2"
"adamklein","mattias-lundell","20120","809","2222","221"
"adamklein","wesm","20120","809","2222","2"
"mattias-lundell","wesm","20120","809","221","2"
"adamklein","wesm","20120","810","22","22"
"lodagro","wesm","20120","810","2","22"
"adamklein","lodagro","20120","810","22","2"
"adamklein","wesm","20120","811","22","22"
"changhiskhan","wesm","20121","816","2","2"
"jseabold","wesm","20121","816","2","2"
"changhiskhan","jseabold","20121","816","2","2"
"paddymul","wesm","20120","826","2","2"
"lodagro","takluyver","20120","829","2","2"
"takluyver","wesm","20120","829","2","21"
"lodagro","wesm","20120","829","2","21"
"timmie","wesm","20121","833","22222","22"
"adamklein","wesm","20120","834","1","12"
"adamklein","wesm","20120","835","22","22"
"mcobzarenco","wesm","20120","835","2","22"
"adamklein","mcobzarenco","20120","835","22","2"
"adamklein","wesm","20120","838","1","22"
"adamklein","wesm","20120","839","1","22"
"bgbg","lodagro","20120","840","1","2"
"lodagro","wesm","20120","840","2","2"
"bgbg","wesm","20120","840","1","2"
"adamklein","takluyver","20120","842","2","2"
"takluyver","tvaught","20120","842","2","0"
"adamklein","tvaught","20120","842","2","0"
"adamklein","tvaught","20120","843","0","2"
"adamklein","tvaught","20120","845","11","11"
"tvaught","wesm","20120","845","11","2"
"adamklein","wesm","20120","845","11","2"
"lbeltrame","wesm","20120","846","2","2"
"adamklein","jdreyf","20120","848","2","2"
"adamklein","lbeltrame","20120","848","2","2"
"jdreyf","lbeltrame","20120","848","2","2"
"qwhelan","wesm","20121","849","2","1"
"filmor","jreback","20131","852","2","2"
"filmor","jtratner","20131","852","2","0"
"jreback","jtratner","20131","852","2","0"
"adamklein","timmie","20120","854","2","022222"
"adamklein","wesm","20120","856","222","22"
"adamklein","wesm","20120","859","22","2"
"adamklein","benjaminmgross","20120","862","2","1"
"adamklein","yinhm","20120","867","2","21"
"wesm","yinhm","20120","867","2","21"
"adamklein","wesm","20120","867","2","2"
"blounsbury-usbr","changhiskhan","20121","873","1","2"
"timmie","wesm","20121","876","2","2"
"takluyver","theandygross","20120","877","2","2"
"jhaynes","lodagro","20120","878","2","22"
"lodagro","wesm","20120","878","22","2"
"jhaynes","wesm","20120","878","2","2"
"jseabold","tponthieux","20130","886","2","2"
"cpcloud","jreback","20131","886","2","2"
"joshuaar","takluyver","20120","888","1","1"
"adamklein","takluyver","20120","888","2","1"
"adamklein","joshuaar","20120","888","2","1"
"takluyver","wesm","20120","888","1","2"
"joshuaar","wesm","20120","888","1","2"
"adamklein","wesm","20120","888","2","2"
"lodagro","wesm","20120","891","2","2"
"gerigk","takluyver","20120","892","1","2"
